basin,tcdays,tcdays_sd,hurrdays,hurrdays_sd,majhurrdays,majhurrdays_sd,ace,ace_sd
natl,1.836957,(2.338668),0.108696,(0.521286),0.000000,(0.000000),1.689696,(2.628440)
epac,1.739130,(2.596412),0.000000,(0.000000),0.000000,(0.000000),1.295719,(2.150843)
cpac,0.369565,(0.859008),0.021739,(0.104257),0.000000,(0.000000),0.301558,(0.731890)
wpac,7.108696,(6.341971),0.630435,(1.764340),0.000000,(0.000000),6.728323,(7.969262)
nio,3.500000,(2.956118),0.065217,(0.216078),0.000000,(0.000000),2.610118,(2.243970)
sio,12.119565,(8.282261),0.500000,(0.790569),0.000000,(0.000000),10.465646,(7.220968)
spac,1.967391,(3.254633),0.000000,(0.000000),0.000000,(0.000000),1.550090,(2.689777)
satl,0.000000,(0.000000),0.000000,(0.000000),0.000000,(0.000000),0.000000,(0.000000)
glob,25.065218,(12.177480),1.217391,(2.203180),0.000000,(0.000000),21.655733,(12.075871)
natl,51.760868,(26.040886),22.619566,(15.922909),4.608696,(4.493573),91.343475,(58.334064)
epac,75.054344,(26.944277),32.228260,(13.577202),9.750000,(5.785955),139.340149,(59.052315)
cpac,11.902174,(15.013959),6.271739,(9.400470),1.206522,(2.490496),31.736719,(35.444454)
wpac,147.608688,(38.410007),58.173912,(20.138926),11.119565,(5.958602),249.781219,(74.848175)
nio,1.260870,(2.820862),0.239130,(0.806502),0.043478,(0.208514),7.836809,(5.280271)
sio,84.510872,(27.657040),26.293478,(11.337200),6.445652,(4.303775),128.584671,(48.513046)
spac,52.391304,(26.366928),14.282609,(10.372961),2.543478,(2.383242),73.928894,(44.526779)
satl,0.000000,(0.000000),0.000000,(0.000000),0.000000,(0.000000),-9990.000000,(-9990.000000)
glob,297.673920,(56.826862),105.260872,(29.066586),21.358696,(8.553251),477.115295,(112.988808)
