basin,tcdays,tcdays_sd,hurrdays,hurrdays_sd,majhurrdays,majhurrdays_sd,ace,ace_sd
cam
natl,2.304348,2.598029,0.108696,0.521286,0.000000,0.000000,1.971620,2.681182
epac,1.934783,2.831657,0.000000,0.000000,0.000000,0.000000,1.410800,2.288320
cpac,0.423913,0.873976,0.021739,0.104257,0.000000,0.000000,0.333617,0.745793
wpac,9.097826,8.020123,0.630435,1.764340,0.000000,0.000000,7.868719,8.710324
nio,4.086957,3.130322,0.065217,0.216078,0.000000,0.000000,2.947801,2.336310
sio,13.967391,8.262148,0.500000,0.790569,0.000000,0.000000,11.491544,7.184377
spac,2.978261,3.568257,0.000000,0.000000,0.000000,0.000000,2.316123,2.852452
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
glob,30.554348,12.929651,1.217391,2.203180,0.000000,0.000000,24.957804,12.255271
ibtracs
natl,51.760868,26.040886,22.619566,15.922909,4.608696,4.493573,91.343475,58.334064
epac,75.054344,26.944277,32.228260,13.577202,9.750000,5.785955,139.340149,59.052315
cpac,12.054348,15.102671,6.543478,9.881874,1.510870,2.825893,34.180725,38.757080
wpac,153.380432,39.921150,65.500000,22.188116,15.434783,8.052814,281.651550,85.966339
nio,1.260870,2.820862,0.239130,0.806502,0.043478,0.208514,7.978862,5.408994
sio,87.152176,22.822529,27.782608,11.706230,7.239130,5.099843,135.155121,48.162884
spac,54.369564,24.032278,15.891304,10.298893,3.543478,3.191477,81.615906,44.749428
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9990.000000,-9990.000000
glob,308.217377,56.354664,115.956520,31.659199,27.771740,11.928031,525.074219,125.770653
