natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
3.180337,1.227794,0.000000,1.598809,1.226136,11.526029,0.000000,0.000000,14.350975
4.052305,0.000000,0.000000,2.657424,2.786148,8.003154,1.481056,0.000000,14.927782
0.000000,0.000000,0.000000,14.594930,1.228180,6.447505,6.242384,0.000000,28.512999
0.000000,3.083678,0.000000,0.000000,5.182943,16.697508,0.848634,0.000000,22.729086
10.898200,0.403571,2.575372,6.412143,2.327549,5.942001,0.000000,0.000000,17.257065
4.162539,0.767644,0.000000,2.379273,5.668191,17.237497,0.000000,0.000000,25.284962
0.000000,0.000000,0.000000,9.254190,8.165610,7.792303,2.671756,0.000000,27.883860
0.000000,4.947793,0.000000,9.047226,0.644138,3.615676,3.343612,0.000000,16.650654
2.655956,0.000000,0.000000,1.114129,1.250116,12.618651,0.000000,0.000000,14.982896
4.694632,0.000000,0.000000,3.451660,4.255529,31.202837,4.937829,0.000000,43.847855
2.351111,7.207551,0.000000,3.100871,3.237031,14.981152,1.841514,0.000000,23.160568
0.000000,0.000000,2.121258,5.969363,5.928164,1.331595,0.000000,0.000000,15.350380
0.000000,0.000000,1.745264,26.580511,0.357853,18.526287,1.671133,0.000000,48.881046
1.877503,2.488496,0.683883,16.103334,0.000000,9.678786,2.204773,0.000000,28.670776
0.000000,2.561791,0.000000,14.629807,2.323646,10.601068,0.000000,0.000000,27.554522
3.218551,0.000000,0.000000,1.374403,3.256675,6.931590,2.646838,0.000000,14.209505
5.772149,7.584962,0.000000,0.000000,0.000000,0.117330,0.000000,0.000000,0.117330
0.000000,1.451700,0.254873,33.155571,3.374332,17.017462,2.002697,0.000000,55.804935
1.337585,0.000000,0.000000,16.377291,6.048560,2.903182,0.000000,0.000000,25.329033
1.146386,0.000000,0.000000,4.783723,2.291460,18.716345,1.923883,0.000000,27.715410
0.000000,0.111833,0.000000,2.692000,2.001025,19.427372,10.462898,0.000000,34.583294
0.000000,0.611578,0.000000,3.912558,6.246138,10.294313,2.167402,0.000000,22.620411
0.000000,0.000000,0.292543,1.791321,0.000000,12.695858,8.824428,0.000000,23.604149
ibtracs
146.737503,77.650002,-9990.000000,241.723038,3.051111,225.446838,45.858128,-9990.000000,516.079163
93.254997,72.769997,-9990.000000,237.595764,-9990.000000,119.149910,64.694099,-9990.000000,421.439758
28.462500,149.300003,11.854600,356.686798,-9990.000000,106.727821,70.209061,-9990.000000,545.478271
16.837500,206.177490,22.332420,190.908585,-9990.000000,87.629471,153.303101,-9990.000000,454.173584
70.937500,183.099991,9.514600,259.601715,-9990.000000,134.449539,44.293484,-9990.000000,447.859344
87.982498,180.707489,22.979065,215.003799,-9990.000000,146.877563,83.545532,-9990.000000,468.405945
35.792500,107.752495,-9990.000000,329.447632,-9990.000000,142.772064,82.301559,-9990.000000,554.521240
34.360001,115.812500,59.643841,310.618652,-9990.000000,64.322021,52.694138,-9990.000000,487.278625
102.992500,85.006096,39.181183,205.641479,-9990.000000,93.212105,68.862152,-9990.000000,406.896912
135.125000,110.764999,3.376655,289.219727,-9990.000000,179.286163,97.601448,-9990.000000,569.484009
91.167496,245.477493,35.391533,297.662537,-9990.000000,113.263573,78.874794,-9990.000000,525.192444
33.967499,178.319992,7.404063,449.309052,-9990.000000,132.243210,75.403297,-9990.000000,664.359619
75.129997,276.727478,141.125610,298.673492,-9990.000000,130.356094,160.057495,-9990.000000,730.212708
38.665001,182.129990,39.951862,249.137924,-9990.000000,91.615662,118.402382,-9990.000000,499.107819
31.529999,202.574997,2.208438,440.347839,-9990.000000,235.783600,56.005730,-9990.000000,734.345581
227.102493,100.202499,-9990.000000,196.766937,-9990.000000,174.347992,19.907309,-9990.000000,391.022247
166.182495,53.465000,24.619118,326.752228,-9990.000000,183.881195,76.393585,-9990.000000,611.646118
40.117500,163.179993,104.462914,398.140167,-9990.000000,110.310410,184.939346,-9990.000000,797.852844
181.767502,133.985001,-9990.000000,140.173935,-9990.000000,60.745049,161.953888,-9990.000000,362.872864
176.527496,91.899994,-9990.000000,115.925774,-9990.000000,130.269928,49.014626,-9990.000000,295.210327
115.567497,94.827499,0.548872,274.442963,9.744163,188.619522,51.052666,-9990.000000,524.408203
105.567497,90.494995,0.000000,296.054382,14.821840,78.267502,47.346481,-9990.000000,436.490234
65.125000,102.497498,56.477585,358.151093,4.298335,178.990601,34.451565,-9990.000000,632.369141
