natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
8.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.250000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,1.500000
0.000000,1.500000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000
8.750000,2.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
20.250000,3.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000
29.500000,2.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.250000
12.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000
24.750000,0.750000,0.000000,2.500000,0.000000,0.000000,0.000000,0.000000,2.500000
38.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.500000,0.250000,0.000000,0.000000,1.250000,0.000000,0.000000,0.000000,1.250000
0.750000,1.500000,0.000000,0.000000,0.750000,2.000000,0.000000,0.000000,2.750000
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.500000,7.250000,0.000000,3.250000,0.000000,0.000000,0.000000,0.000000,3.250000
2.000000,7.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.000000,0.750000
17.250000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.250000,0.750000,0.000000,0.000000,2.500000,2.750000,0.000000,0.000000,5.250000
12.750000,6.500000,0.000000,2.750000,0.000000,0.000000,0.000000,0.000000,2.750000
6.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.750000,0.750000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
9.250000,3.500000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
2.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ibtracs
38.250000,22.750000,0.000000,49.250000,0.000000,45.750000,5.500000,0.000000,100.500000
22.500000,18.250000,0.000000,49.000000,0.000000,26.250000,13.500000,0.000000,88.750000
5.750000,37.500000,1.750000,81.250000,0.000000,20.250000,12.750000,0.000000,116.000000
3.500000,47.750000,5.500000,34.750000,0.000000,15.750000,36.750000,0.000000,92.750000
18.250000,43.500000,2.750000,54.750000,0.000000,27.500000,5.000000,0.000000,90.000000
21.250000,45.000000,5.750000,51.500000,0.000000,29.000000,17.000000,0.000000,103.250000
10.500000,28.750000,0.000000,80.500000,0.000000,29.750000,17.250000,0.000000,127.500000
5.000000,24.750000,14.250000,75.000000,0.000000,7.500000,7.250000,0.000000,104.000000
21.250000,21.000000,12.250000,46.250000,0.000000,19.000000,9.250000,0.000000,86.750000
31.750000,27.250000,0.000000,70.250000,0.000000,40.500000,21.000000,0.000000,131.750000
26.750000,58.250000,8.250000,75.250000,0.000000,21.750000,16.000000,0.000000,121.250000
8.250000,44.000000,1.750000,104.750000,0.000000,27.250000,15.750000,0.000000,149.500000
16.000000,61.250000,41.250000,69.750000,0.000000,29.000000,36.750000,0.000000,176.750000
9.500000,45.500000,11.000000,53.000000,0.000000,15.750000,25.750000,0.000000,105.500000
7.250000,36.000000,0.000000,95.000000,0.000000,52.000000,11.750000,0.000000,158.750000
61.500000,22.250000,0.000000,41.250000,0.000000,38.500000,4.250000,0.000000,84.000000
45.000000,13.000000,7.250000,81.500000,0.000000,36.500000,14.500000,0.000000,139.750000
9.500000,33.500000,21.500000,99.000000,0.000000,21.500000,33.000000,0.000000,175.000000
48.500000,33.000000,0.000000,38.000000,0.000000,10.500000,31.750000,0.000000,80.250000
41.000000,23.500000,0.000000,23.500000,0.000000,22.500000,8.500000,0.000000,54.500000
32.750000,16.750000,0.000000,60.500000,2.250000,43.500000,8.500000,0.000000,114.750000
25.500000,18.500000,0.000000,82.500000,3.250000,18.250000,8.500000,0.000000,112.500000
10.750000,19.250000,17.250000,90.000000,0.000000,40.750000,5.250000,0.000000,153.250000
