natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
0,0,0,0,0,3,0,0,3
0,0,1,0,0,5,0,0,6
0,0,0,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,2
1,0,1,1,0,0,0,0,2
0,0,0,2,0,0,0,0,2
0,0,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,2
0,0,0,0,1,1,0,0,2
ibtracs
0,0,1,4,0,53,29,0,87
0,0,0,1,0,43,35,0,79
0,0,0,5,0,38,24,0,67
0,0,0,4,3,25,11,0,43
0,7,0,16,5,3,2,0,26
3,25,0,27,1,0,1,0,29
10,54,1,56,0,0,0,0,57
36,47,8,65,0,0,0,0,73
51,53,3,78,1,0,0,0,82
23,23,3,62,2,3,2,0,72
14,2,5,27,14,15,6,0,67
1,1,0,18,2,24,20,0,64
