natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
ibtracs
0,0,1,1,0,20,10,0,32
0,0,0,1,0,18,10,0,29
0,0,0,2,0,26,13,0,41
0,0,0,2,3,16,3,0,24
0,2,0,7,4,1,0,0,12
0,11,0,7,0,0,1,0,8
2,30,1,24,0,0,0,0,25
15,19,6,22,0,0,0,0,28
26,30,0,34,0,0,0,0,34
6,14,1,32,2,1,1,0,37
2,0,3,17,3,4,3,0,30
0,0,0,8,0,11,10,0,29
