natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
0,0,0,6,1,19,1,0,27
1,0,1,4,2,24,6,0,37
0,0,1,1,1,10,8,0,21
1,0,0,1,0,3,2,0,6
1,1,0,1,4,1,0,0,6
0,1,0,2,3,0,4,0,9
0,1,0,10,0,1,1,0,12
5,2,2,9,1,0,2,0,14
4,4,0,12,4,1,0,0,17
4,7,0,8,4,3,0,0,15
1,0,0,2,7,5,0,0,14
0,1,0,7,7,15,1,0,30
ibtracs
0,0,3,15,4,102,61,0,185
0,0,0,6,0,99,84,0,189
0,0,1,12,2,63,65,0,143
1,0,0,26,4,48,26,0,104
2,13,0,33,20,9,10,0,72
14,49,0,59,17,5,2,0,83
20,94,8,126,5,9,0,0,148
68,83,20,164,9,2,0,0,195
84,81,12,146,8,8,0,0,174
39,43,8,113,36,17,4,0,178
16,4,7,67,33,31,14,0,152
1,1,0,41,14,61,40,0,156
