natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,2
1,0,1,0,0,1,0,0,2
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,0,2
0,0,0,1,0,1,0,0,2
0,0,0,1,0,1,0,0,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,0,4
0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1
ibtracs
9,7,0,15,0,13,2,0,30
7,8,0,15,2,8,7,0,32
2,11,1,19,2,6,6,0,34
3,12,1,10,0,6,10,0,27
5,12,1,16,2,10,5,0,34
7,12,2,16,0,10,6,0,34
4,9,0,18,0,11,7,0,36
3,9,2,15,0,5,5,0,27
6,6,1,14,1,8,3,0,27
7,9,0,21,0,12,6,0,39
8,16,1,20,1,7,5,0,34
4,10,1,19,1,9,5,0,35
4,15,5,15,0,5,8,0,33
4,10,1,19,2,8,6,0,36
3,10,0,19,2,14,4,0,39
11,7,0,10,2,12,2,0,26
9,5,1,17,2,11,6,0,37
3,9,2,19,2,8,11,0,42
10,9,0,10,3,6,10,0,29
8,6,0,7,3,7,3,0,20
8,6,0,15,2,10,7,0,34
9,8,0,19,1,7,4,0,31
4,6,2,15,0,11,2,0,30
