natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
2,1,0,2,0,6,0,0,8
2,0,0,1,1,4,1,0,7
0,0,0,6,1,3,3,0,13
0,1,0,0,1,4,1,0,6
1,1,1,3,2,3,0,0,9
2,1,0,2,2,6,0,0,10
0,0,0,5,5,2,1,0,13
0,2,0,4,1,3,1,0,9
1,0,0,2,2,4,0,0,8
1,0,0,2,1,7,3,0,13
2,2,0,1,3,5,1,0,10
0,0,0,3,2,1,0,0,6
0,0,1,8,1,6,2,0,18
1,3,1,3,0,1,1,0,6
0,1,0,4,2,3,0,0,9
2,0,0,1,1,3,1,0,6
1,2,0,0,0,1,0,0,1
0,1,1,3,1,4,1,0,10
1,0,0,4,2,2,0,0,8
1,0,0,4,1,6,2,0,13
0,1,0,2,2,4,3,0,11
0,1,0,2,3,1,1,0,7
0,0,0,1,0,3,3,0,7
ibtracs
11,14,0,35,5,28,11,0,79
12,15,0,35,3,20,19,0,77
6,19,4,28,5,20,11,0,68
4,21,3,27,3,18,17,0,68
13,19,1,36,4,24,13,0,78
11,22,3,35,6,19,14,0,77
6,17,2,38,4,23,16,0,83
7,18,3,28,8,16,15,0,70
12,12,2,37,5,15,10,0,69
11,17,3,42,2,30,12,0,89
14,20,3,36,12,19,11,0,81
8,14,1,35,9,20,9,0,74
7,25,7,38,12,17,16,0,90
8,14,3,37,4,17,13,0,74
7,18,5,40,5,23,12,0,85
19,10,2,34,7,18,5,0,66
13,9,2,49,10,25,13,0,99
8,17,7,31,9,13,25,0,85
14,13,1,29,11,18,19,0,78
12,9,0,37,9,19,10,0,75
15,18,1,35,6,20,12,0,74
15,15,2,35,7,15,14,0,73
12,12,4,31,6,17,9,0,67
