natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
10,8,0,1,1,1,2,0,5
11,4,0,3,3,7,1,0,14
9,4,0,2,2,2,0,0,6
8,6,0,0,0,4,2,0,6
13,4,0,3,2,2,1,0,8
14,7,0,2,4,5,0,0,11
6,2,0,1,3,3,0,0,7
15,6,0,2,0,1,2,0,5
15,3,0,0,1,4,0,0,5
15,4,0,0,4,4,0,0,8
10,3,0,2,2,5,4,0,13
12,8,0,2,1,3,0,0,6
9,9,0,3,2,4,0,0,9
11,6,0,1,3,2,1,0,7
4,6,0,3,4,2,1,0,10
11,4,0,0,2,1,0,0,3
6,3,0,1,6,4,0,0,11
10,3,0,5,3,1,0,0,9
4,5,0,0,4,1,2,0,7
8,6,0,1,1,1,0,0,3
8,2,0,2,4,2,1,0,9
8,4,0,7,3,1,1,0,12
3,4,0,1,1,2,3,0,7
ibtracs
11,14,0,35,5,28,11,0,79
12,15,0,35,3,20,19,0,77
6,19,4,28,5,20,11,0,68
4,21,3,27,3,18,17,0,68
13,19,1,36,4,24,13,0,78
11,22,3,35,6,19,14,0,77
6,17,2,38,4,23,16,0,83
7,18,3,28,8,16,15,0,70
12,12,2,37,5,15,10,0,69
11,17,3,42,2,30,12,0,89
14,20,3,36,12,19,11,0,81
8,14,1,35,9,20,9,0,74
7,25,7,38,12,17,16,0,90
8,14,3,37,4,17,13,0,74
7,18,5,40,5,23,12,0,85
19,10,2,34,7,18,5,0,66
13,9,2,49,10,25,13,0,99
8,17,7,31,9,13,25,0,85
14,13,1,29,11,18,19,0,78
12,9,0,37,9,19,10,0,75
15,18,1,35,6,20,12,0,74
15,15,2,35,7,15,14,0,73
12,12,4,31,6,17,9,0,67
