basin,tcdays,tcdays_sd,hurrdays,hurrdays_sd,majhurrdays,majhurrdays_sd,ace,ace_sd
cam
natl,48.391304,24.241896,13.380435,11.078200,3.706522,3.950440,72.046860,48.068817
epac,18.315218,7.812511,1.750000,2.266355,0.021739,0.072026,16.534206,8.991637
cpac,0.217391,0.780823,0.000000,0.000000,0.000000,0.000000,0.124152,0.420500
wpac,6.304348,7.028334,0.554348,1.047064,0.000000,0.000000,5.544411,6.418431
nio,8.847826,6.108274,0.380435,0.710592,0.000000,0.000000,7.074667,5.842565
sio,9.358696,7.465384,0.260870,0.709026,0.000000,0.000000,7.236449,6.534831
spac,2.608696,3.744561,0.000000,0.000000,0.000000,0.000000,1.985003,3.064775
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
glob,27.336956,11.609070,1.195652,1.383664,0.000000,0.000000,21.964682,10.554443
ibtracs
natl,51.760868,26.040886,22.619566,15.922909,4.608696,4.493573,91.343475,58.334064
epac,75.054344,26.944277,32.228260,13.577202,9.750000,5.785955,139.340149,59.052315
cpac,12.054348,15.102671,6.543478,9.881874,1.510870,2.825893,34.180725,38.757080
wpac,153.380432,39.921150,65.500000,22.188116,15.434783,8.052814,281.651550,85.966339
nio,1.260870,2.820862,0.239130,0.806502,0.043478,0.208514,7.978862,5.408994
sio,87.152176,22.822529,27.782608,11.706230,7.239130,5.099843,135.155121,48.162884
spac,54.369564,24.032278,15.891304,10.298893,3.543478,3.191477,81.615906,44.749428
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9990.000000,-9990.000000
glob,308.217377,56.354664,115.956520,31.659199,27.771740,11.928031,525.074219,125.770653
