basin,tcdays,tcdays_sd,hurrdays,hurrdays_sd,majhurrdays,majhurrdays_sd,ace,ace_sd
cam
natl,48.423912,24.241146,13.380435,11.078200,3.706522,3.950440,72.077332,48.063168
epac,18.293478,7.793737,1.750000,2.266355,0.021739,0.072026,16.519667,8.987838
cpac,0.228261,0.800969,0.000000,0.000000,0.000000,0.000000,0.129428,0.434335
wpac,6.304348,7.028334,0.554348,1.047064,0.000000,0.000000,5.544411,6.418431
nio,8.847826,6.108274,0.380435,0.710592,0.000000,0.000000,7.074667,5.842565
sio,9.358696,7.485526,0.260870,0.709026,0.000000,0.000000,7.240672,6.552489
spac,2.597826,3.727005,0.000000,0.000000,0.000000,0.000000,1.977141,3.049532
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
glob,27.336956,11.617143,1.195652,1.383664,0.000000,0.000000,21.966318,10.561206
ibtracs
natl,51.760868,26.040886,22.619566,15.922909,4.608696,4.493573,91.343475,58.334064
epac,75.054344,26.944277,32.228260,13.577202,9.750000,5.785955,139.340149,59.052315
cpac,12.054348,15.102671,6.543478,9.881874,1.510870,2.825893,34.180725,38.757080
wpac,153.380432,39.921150,65.500000,22.188116,15.434783,8.052814,281.651550,85.966339
nio,1.260870,2.820862,0.239130,0.806502,0.043478,0.208514,7.978862,5.408994
sio,87.152176,22.822529,27.782608,11.706230,7.239130,5.099843,135.155121,48.162884
spac,54.369564,24.032278,15.891304,10.298893,3.543478,3.191477,81.615906,44.749428
satl,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9990.000000,-9990.000000
glob,308.217377,56.354664,115.956520,31.659199,27.771740,11.928031,525.074219,125.770653
