natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
5,0,0,3,10,17,8,0,38
3,0,0,1,5,11,6,0,23
8,0,0,1,4,11,1,0,17
8,0,0,0,1,6,0,0,7
10,3,0,0,4,2,0,0,6
14,17,0,1,4,0,1,0,6
11,18,0,8,0,0,2,0,10
50,13,0,6,0,0,0,0,6
57,17,0,5,2,1,0,0,8
39,30,0,6,4,1,1,0,12
12,10,0,4,11,3,1,0,19
5,5,0,7,11,11,3,0,32
ibtracs
0,0,3,15,4,102,61,0,185
0,0,0,6,0,99,84,0,189
0,0,1,12,2,63,65,0,143
1,0,0,26,4,48,26,0,104
2,13,0,33,20,9,10,0,72
14,49,0,59,17,5,2,0,83
20,94,8,126,5,9,0,0,148
68,83,20,164,9,2,0,0,195
84,81,12,146,8,8,0,0,174
39,43,8,113,36,17,4,0,178
16,4,7,67,33,31,14,0,152
1,1,0,41,14,61,40,0,156
