natl,epac,cpac,wpac,nio,sio,spac,satl,glob
cam
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
ibtracs
2,3,0,9,0,10,0,0,19
3,1,0,5,0,4,2,0,11
1,5,0,12,1,2,2,0,17
1,8,1,5,0,1,5,0,12
1,6,0,8,0,3,1,0,12
3,8,0,2,0,3,4,0,9
0,3,0,8,0,4,0,0,12
1,4,1,8,0,1,1,0,11
3,2,1,7,1,2,2,0,13
2,4,0,8,0,6,3,0,17
1,6,1,6,1,2,3,0,13
2,5,0,10,1,4,2,0,17
1,9,4,9,0,5,4,0,22
1,8,1,6,0,2,3,0,12
0,5,0,10,1,8,3,0,22
5,3,0,6,1,7,1,0,15
6,2,0,6,0,6,1,0,13
1,7,2,10,1,3,5,0,21
3,6,0,2,0,2,3,0,7
5,2,0,1,3,6,1,0,11
3,2,0,6,1,7,2,0,16
4,2,0,4,1,2,2,0,9
2,5,1,9,0,7,1,0,18
