1 1 
2 2
0.736288 0.793909
2013102500 0.736288 0.793909
2013102500 0.736288 0.793909
2013102800 0.676493 0.805737
2013080100 0.657048 0.652414
2013080200 0.726726 0.789728
2013080300 0.737184 0.818836
2013080400 0.725378 0.851974
2013080500 0.675893 0.655882
2013080600 0.612815 0.791331
2013080700 0.492368 0.650246
2013080800 0.505711 0.771571
2013080900 0.620375 0.807064
2013081000 0.687248 0.739313
2013081100 0.667989 0.738121
2013081200 0.683097 0.740713
2013081300 0.651409 0.772965
2013081400 0.476109 0.589099
2013081600 0.276615 0.554992
2013081700 0.423112 0.638373
2013081800 0.481133 0.670266
2013081900 0.454135 0.684042
2013082100 0.214025 0.596555
2013082200 0.346251 0.624659
2013082300 0.475008 0.571072
2013082400 0.389816 0.407229
2013082500 0.292196 0.309172
2013082600 0.43994 0.556937
2013082700 0.335193 0.539788
2013082800 0.346878 0.807121
2013082900 0.435777 0.571195
2013083000 0.595265 0.439102
2013083100 0.620425 0.691522
2013090100 0.675176 0.702825
2013090200 0.436524 0.787911
2013090300 0.523444 0.640942
2013090400 0.634028 0.679156
2013090500 0.512305 0.517083
2013090600 0.497884 0.51212
2013090700 0.526738 0.683552
2013090800 0.596729 0.453247
2013090900 0.75733 0.706382
2013091000 0.777936 0.736155
2013091100 0.584979 0.558466
2013091200 0.65045 0.676193
2013091300 0.683929 0.699379
2013091400 0.799019 0.829717
2013091500 0.704022 0.752715
2013091600 0.470374 0.623237
