AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  34, NEQ, 0097, 0098, 0086, 0084,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  50, NEQ, 0064, 0068, 0055, 0050,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  64, NEQ, 0045, 0045, 0034, 0038,    0,    0, 031,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 006, 265N,  624W,  59,  985, XX,  34, NEQ, 0215, 0183, 0138, 0215,    0,    0, 063,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 006, 265N,  624W,  59,  985, XX,  50, NEQ, 0157, 0088, 0073, 0139,    0,    0, 063,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  34, NEQ, 0097, 0097, 0078, 0080,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  50, NEQ, 0073, 0072, 0055, 0050,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  64, NEQ, 0046, 0046, 0033, 0000,    0,    0, 031,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 012, 266N,  623W,  70,  984, XX,  34, NEQ, 0184, 0164, 0146, 0203,    0,    0, 052,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 012, 266N,  623W,  70,  984, XX,  50, NEQ, 0142, 0091, 0055, 0142,    0,    0, 052,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 012, 266N,  623W,  70,  984, XX,  64, NEQ, 0061, 0000, 0000, 0053,    0,    0, 052,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  34, NEQ, 0109, 0098, 0076, 0082,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  50, NEQ, 0068, 0065, 0056, 0055,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  64, NEQ, 0048, 0049, 0033, 0035,    0,    0, 033,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 018, 267N,  626W,  75,  980, XX,  34, NEQ, 0201, 0183, 0134, 0203,    0,    0, 053,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 018, 267N,  626W,  75,  980, XX,  50, NEQ, 0125, 0101, 0091, 0134,    0,    0, 053,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 018, 267N,  626W,  75,  980, XX,  64, NEQ, 0069, 0000, 0000, 0075,    0,    0, 053,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  34, NEQ, 0107, 0089, 0066, 0105,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  50, NEQ, 0074, 0064, 0034, 0059,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  64, NEQ, 0055, 0038, 0000, 0042,    0,    0, 035,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 024, 267N,  626W,  83,  975, XX,  34, NEQ, 0200, 0190, 0172, 0233,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 024, 267N,  626W,  83,  975, XX,  50, NEQ, 0125, 0114, 0092, 0127,    0,    0, 037,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 024, 267N,  626W,  83,  975, XX,  64, NEQ, 0073, 0074, 0000, 0069,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  34, NEQ, 0103, 0097, 0063, 0102,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  50, NEQ, 0075, 0059, 0025, 0062,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  64, NEQ, 0055, 0034, 0000, 0046,    0,    0, 043,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 030, 270N,  628W,  85,  964, XX,  34, NEQ, 0188, 0194, 0161, 0213,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 030, 270N,  628W,  85,  964, XX,  50, NEQ, 0126, 0112, 0097, 0126,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 030, 270N,  628W,  85,  964, XX,  64, NEQ, 0093, 0069, 0068, 0093,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 036, 273N,  628W,  91,  956, XX,  34, NEQ, 0189, 0200, 0211, 0214,    0,    0, 030,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 036, 273N,  628W,  91,  956, XX,  50, NEQ, 0119, 0109, 0131, 0143,    0,    0, 030,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 036, 273N,  628W,  91,  956, XX,  64, NEQ, 0077, 0069, 0065, 0087,    0,    0, 030,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  34, NEQ, 0100, 0087, 0085, 0100,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  50, NEQ, 0068, 0047, 0035, 0067,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  64, NEQ, 0053, 0022, 0000, 0050,    0,    0, 035,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 042, 275N,  628W,  95,  949, XX,  34, NEQ, 0195, 0205, 0214, 0210,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 042, 275N,  628W,  95,  949, XX,  50, NEQ, 0124, 0115, 0090, 0126,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 042, 275N,  628W,  95,  949, XX,  64, NEQ, 0078, 0072, 0053, 0072,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  34, NEQ, 0114, 0099, 0071, 0099,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  50, NEQ, 0069, 0050, 0046, 0061,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  64, NEQ, 0048, 0035, 0023, 0048,    0,    0, 033,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 048, 278N,  628W, 100,  942, XX,  34, NEQ, 0211, 0215, 0171, 0185,    0,    0, 033,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 048, 278N,  628W, 100,  942, XX,  50, NEQ, 0138, 0129, 0090, 0127,    0,    0, 033,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 048, 278N,  628W, 100,  942, XX,  64, NEQ, 0097, 0085, 0039, 0088,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  34, NEQ, 0117, 0105, 0066, 0103,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  50, NEQ, 0075, 0065, 0043, 0062,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  64, NEQ, 0052, 0040, 0028, 0045,    0,    0, 028,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 054, 284N,  629W, 103,  935, XX,  34, NEQ, 0223, 0229, 0157, 0173,    0,    0, 038,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 054, 284N,  629W, 103,  935, XX,  50, NEQ, 0143, 0139, 0089, 0128,    0,    0, 038,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 054, 284N,  629W, 103,  935, XX,  64, NEQ, 0101, 0074, 0047, 0085,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  34, NEQ, 0118, 0117, 0067, 0092,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  50, NEQ, 0072, 0067, 0039, 0063,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  64, NEQ, 0059, 0052, 0023, 0045,    0,    0, 028,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 060, 290N,  625W, 111,  933, XX,  34, NEQ, 0204, 0199, 0185, 0185,    0,    0, 029,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 060, 290N,  625W, 111,  933, XX,  50, NEQ, 0131, 0122, 0094, 0119,    0,    0, 029,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 060, 290N,  625W, 111,  933, XX,  64, NEQ, 0095, 0091, 0053, 0078,    0,    0, 029,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  34, NEQ, 0122, 0114, 0078, 0110,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  50, NEQ, 0073, 0055, 0051, 0074,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  64, NEQ, 0051, 0039, 0031, 0058,    0,    0, 031,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 066, 298N,  621W, 117,  932, XX,  34, NEQ, 0214, 0214, 0197, 0167,    0,    0, 030,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 066, 298N,  621W, 117,  932, XX,  50, NEQ, 0140, 0127, 0113, 0121,    0,    0, 030,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 066, 298N,  621W, 117,  932, XX,  64, NEQ, 0094, 0083, 0060, 0091,    0,    0, 030,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  34, NEQ, 0131, 0108, 0074, 0115,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  50, NEQ, 0077, 0058, 0042, 0070,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  64, NEQ, 0056, 0045, 0026, 0055,    0,    0, 032,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 072, 306N,  618W, 110,  924, XX,  34, NEQ, 0223, 0229, 0188, 0159,    0,    0, 023,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 072, 306N,  618W, 110,  924, XX,  50, NEQ, 0146, 0145, 0123, 0114,    0,    0, 023,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 072, 306N,  618W, 110,  924, XX,  64, NEQ, 0097, 0081, 0092, 0086,    0,    0, 023,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  34, NEQ, 0137, 0121, 0072, 0102,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  50, NEQ, 0081, 0070, 0042, 0067,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  64, NEQ, 0062, 0058, 0025, 0042,    0,    0, 038,   0,   0, TCV
AL,   12, 2012090612, 03,  CMZ, 078, 312N,  613W, 106,  921, XX,  34, NEQ, 0224, 0220, 0211, 0165,    0,    0, 023,   0,   0, TCV
