AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  34, NEQ, 0097, 0098, 0086, 0084,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  50, NEQ, 0064, 0068, 0055, 0050,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 006, 304N,  411W,  70,  977, XX,  64, NEQ, 0045, 0045, 0034, 0038,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  34, NEQ, 0097, 0097, 0078, 0080,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  50, NEQ, 0073, 0072, 0055, 0050,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 012, 309N,  411W,  74,  976, XX,  64, NEQ, 0046, 0046, 0033, 0000,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  34, NEQ, 0109, 0098, 0076, 0082,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  50, NEQ, 0068, 0065, 0056, 0055,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 018, 312N,  414W,  82,  973, XX,  64, NEQ, 0048, 0049, 0033, 0035,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  34, NEQ, 0107, 0089, 0066, 0105,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  50, NEQ, 0074, 0064, 0034, 0059,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 024, 313N,  419W,  77,  974, XX,  64, NEQ, 0055, 0038, 0000, 0042,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  34, NEQ, 0103, 0097, 0063, 0102,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  50, NEQ, 0075, 0059, 0025, 0062,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 030, 315N,  426W,  76,  977, XX,  64, NEQ, 0055, 0034, 0000, 0046,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  34, NEQ, 0100, 0087, 0085, 0100,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  50, NEQ, 0068, 0047, 0035, 0067,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 036, 314N,  429W,  74,  975, XX,  64, NEQ, 0053, 0022, 0000, 0050,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  34, NEQ, 0114, 0099, 0071, 0099,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  50, NEQ, 0069, 0050, 0046, 0061,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 042, 315N,  432W,  75,  968, XX,  64, NEQ, 0048, 0035, 0023, 0048,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  34, NEQ, 0117, 0105, 0066, 0103,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  50, NEQ, 0075, 0065, 0043, 0062,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 048, 318N,  435W,  84,  963, XX,  64, NEQ, 0052, 0040, 0028, 0045,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  34, NEQ, 0118, 0117, 0067, 0092,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  50, NEQ, 0072, 0067, 0039, 0063,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 054, 320N,  440W,  90,  957, XX,  64, NEQ, 0059, 0052, 0023, 0045,    0,    0, 028,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  34, NEQ, 0122, 0114, 0078, 0110,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  50, NEQ, 0073, 0055, 0051, 0074,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 060, 323N,  442W,  89,  955, XX,  64, NEQ, 0051, 0039, 0031, 0058,    0,    0, 031,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  34, NEQ, 0131, 0108, 0074, 0115,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  50, NEQ, 0077, 0058, 0042, 0070,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 066, 324N,  449W,  84,  957, XX,  64, NEQ, 0056, 0045, 0026, 0055,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  34, NEQ, 0137, 0121, 0072, 0102,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  50, NEQ, 0081, 0070, 0042, 0067,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 072, 324N,  454W,  90,  961, XX,  64, NEQ, 0062, 0058, 0025, 0042,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 078, 325N,  459W,  83,  963, XX,  34, NEQ, 0131, 0125, 0080, 0107,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 078, 325N,  459W,  83,  963, XX,  50, NEQ, 0085, 0074, 0043, 0075,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 078, 325N,  459W,  83,  963, XX,  64, NEQ, 0062, 0058, 0025, 0046,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 084, 327N,  463W,  86,  963, XX,  34, NEQ, 0129, 0115, 0083, 0115,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 084, 327N,  463W,  86,  963, XX,  50, NEQ, 0083, 0066, 0045, 0080,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 084, 327N,  463W,  86,  963, XX,  64, NEQ, 0061, 0041, 0029, 0050,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 090, 328N,  467W,  84,  964, XX,  34, NEQ, 0136, 0137, 0084, 0109,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 090, 328N,  467W,  84,  964, XX,  50, NEQ, 0087, 0076, 0051, 0086,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 090, 328N,  467W,  84,  964, XX,  64, NEQ, 0064, 0052, 0023, 0058,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 096, 330N,  469W,  87,  966, XX,  34, NEQ, 0134, 0139, 0092, 0111,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 096, 330N,  469W,  87,  966, XX,  50, NEQ, 0091, 0086, 0046, 0078,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 096, 330N,  469W,  87,  966, XX,  64, NEQ, 0068, 0058, 0000, 0050,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  34, NEQ, 0150, 0152, 0105, 0107,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  50, NEQ, 0091, 0088, 0059, 0077,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 102, 335N,  470W,  83,  964, XX,  64, NEQ, 0068, 0063, 0029, 0048,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  34, NEQ, 0155, 0143, 0104, 0111,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  50, NEQ, 0099, 0092, 0071, 0080,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 108, 342N,  470W,  87,  965, XX,  64, NEQ, 0074, 0074, 0026, 0050,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  34, NEQ, 0166, 0161, 0118, 0123,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  50, NEQ, 0102, 0097, 0060, 0079,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 114, 352N,  468W,  91,  966, XX,  64, NEQ, 0078, 0075, 0043, 0065,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  34, NEQ, 0174, 0170, 0115, 0128,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  50, NEQ, 0106, 0102, 0056, 0083,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 120, 364N,  468W,  91,  970, XX,  64, NEQ, 0088, 0086, 0000, 0038,    0,    0, 042,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 126, 380N,  469W,  82,  977, XX,  34, NEQ, 0176, 0175, 0350, 0148,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 126, 380N,  469W,  82,  977, XX,  50, NEQ, 0120, 0113, 0063, 0089,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 126, 380N,  469W,  82,  977, XX,  64, NEQ, 0082, 0079, 0000, 0000,    0,    0, 043,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 132, 399N,  469W,  77,  987, XX,  34, NEQ, 0169, 0179, 0351, 0124,    0,    0, 052,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 132, 399N,  469W,  77,  987, XX,  50, NEQ, 0114, 0114, 0057, 0080,    0,    0, 052,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 132, 399N,  469W,  77,  987, XX,  64, NEQ, 0088, 0091, 0000, 0000,    0,    0, 052,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 138, 422N,  466W,  72,  988, XX,  34, NEQ, 0195, 0204, 0350, 0109,    0,    0, 063,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 138, 422N,  466W,  72,  988, XX,  50, NEQ, 0121, 0131, 0073, 0065,    0,    0, 063,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 138, 422N,  466W,  72,  988, XX,  64, NEQ, 0086, 0088, 0000, 0000,    0,    0, 063,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 144, 446N,  456W,  73,  988, XX,  34, NEQ, 0343, 0238, 0154, 0073,    0,    0, 067,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 144, 446N,  456W,  73,  988, XX,  50, NEQ, 0142, 0157, 0000, 0000,    0,    0, 067,   0,   0, TCV
AL,   13, 2012090612, 03,  CMZ, 144, 446N,  456W,  73,  988, XX,  64, NEQ, 0100, 0115, 0000, 0000,    0,    0, 067,   0,   0, TCV
