AL,   13, 2012090700, 03,  CMZ, 006, 310N,  410W,  67,  981, XX,  34, NEQ, 0096, 0095, 0065, 0086,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 006, 310N,  410W,  67,  981, XX,  50, NEQ, 0064, 0059, 0045, 0047,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 006, 310N,  410W,  67,  981, XX,  64, NEQ, 0042, 0041, 0029, 0000,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 012, 314N,  412W,  64,  984, XX,  34, NEQ, 0083, 0081, 0069, 0080,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 012, 314N,  412W,  64,  984, XX,  50, NEQ, 0058, 0056, 0042, 0048,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 018, 316N,  419W,  66,  983, XX,  34, NEQ, 0092, 0087, 0075, 0083,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 018, 316N,  419W,  66,  983, XX,  50, NEQ, 0058, 0051, 0045, 0056,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 018, 316N,  419W,  66,  983, XX,  64, NEQ, 0033, 0033, 0000, 0000,    0,    0, 032,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 024, 317N,  424W,  65,  984, XX,  34, NEQ, 0090, 0078, 0065, 0086,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 024, 317N,  424W,  65,  984, XX,  50, NEQ, 0063, 0050, 0033, 0054,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 024, 317N,  424W,  65,  984, XX,  64, NEQ, 0036, 0000, 0000, 0000,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 030, 316N,  431W,  68,  984, XX,  34, NEQ, 0085, 0075, 0071, 0092,    0,    0, 030,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 030, 316N,  431W,  68,  984, XX,  50, NEQ, 0053, 0049, 0024, 0052,    0,    0, 030,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 030, 316N,  431W,  68,  984, XX,  64, NEQ, 0034, 0000, 0000, 0000,    0,    0, 030,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 036, 316N,  435W,  71,  982, XX,  34, NEQ, 0092, 0091, 0064, 0086,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 036, 316N,  435W,  71,  982, XX,  50, NEQ, 0068, 0053, 0026, 0054,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 036, 316N,  435W,  71,  982, XX,  64, NEQ, 0046, 0000, 0000, 0040,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 042, 316N,  439W,  71,  973, XX,  34, NEQ, 0096, 0088, 0068, 0089,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 042, 316N,  439W,  71,  973, XX,  50, NEQ, 0062, 0040, 0032, 0057,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 042, 316N,  439W,  71,  973, XX,  64, NEQ, 0045, 0022, 0000, 0042,    0,    0, 033,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 048, 316N,  445W,  70,  975, XX,  34, NEQ, 0105, 0083, 0058, 0089,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 048, 316N,  445W,  70,  975, XX,  50, NEQ, 0063, 0054, 0030, 0053,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 048, 316N,  445W,  70,  975, XX,  64, NEQ, 0047, 0032, 0018, 0038,    0,    0, 035,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 054, 315N,  453W,  78,  972, XX,  34, NEQ, 0103, 0091, 0063, 0092,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 054, 315N,  453W,  78,  972, XX,  50, NEQ, 0078, 0066, 0036, 0061,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 054, 315N,  453W,  78,  972, XX,  64, NEQ, 0054, 0039, 0020, 0020,    0,    0, 041,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 060, 314N,  459W,  77,  975, XX,  34, NEQ, 0114, 0086, 0059, 0113,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 060, 314N,  459W,  77,  975, XX,  50, NEQ, 0076, 0058, 0031, 0068,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 060, 314N,  459W,  77,  975, XX,  64, NEQ, 0056, 0036, 0015, 0037,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 066, 313N,  465W,  80,  975, XX,  34, NEQ, 0114, 0091, 0066, 0105,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 066, 313N,  465W,  80,  975, XX,  50, NEQ, 0075, 0064, 0035, 0058,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 066, 313N,  465W,  80,  975, XX,  64, NEQ, 0057, 0050, 0000, 0044,    0,    0, 039,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 072, 314N,  468W,  78,  973, XX,  34, NEQ, 0116, 0108, 0061, 0101,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 072, 314N,  468W,  78,  973, XX,  50, NEQ, 0077, 0068, 0033, 0059,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 072, 314N,  468W,  78,  973, XX,  64, NEQ, 0057, 0044, 0000, 0040,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 078, 317N,  473W,  81,  971, XX,  34, NEQ, 0123, 0119, 0058, 0110,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 078, 317N,  473W,  81,  971, XX,  50, NEQ, 0079, 0056, 0031, 0069,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 078, 317N,  473W,  81,  971, XX,  64, NEQ, 0058, 0043, 0000, 0051,    0,    0, 038,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 084, 320N,  477W,  86,  970, XX,  34, NEQ, 0145, 0113, 0063, 0107,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 084, 320N,  477W,  86,  970, XX,  50, NEQ, 0086, 0075, 0032, 0060,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 084, 320N,  477W,  86,  970, XX,  64, NEQ, 0058, 0050, 0000, 0045,    0,    0, 037,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 090, 328N,  480W,  88,  968, XX,  34, NEQ, 0152, 0141, 0094, 0102,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 090, 328N,  480W,  88,  968, XX,  50, NEQ, 0089, 0079, 0025, 0058,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 090, 328N,  480W,  88,  968, XX,  64, NEQ, 0065, 0055, 0020, 0029,    0,    0, 036,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 096, 338N,  482W,  93,  967, XX,  34, NEQ, 0149, 0126, 0082, 0350,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 096, 338N,  482W,  93,  967, XX,  50, NEQ, 0091, 0087, 0038, 0069,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 096, 338N,  482W,  93,  967, XX,  64, NEQ, 0067, 0062, 0000, 0041,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 102, 353N,  486W, 104,  963, XX,  34, NEQ, 0162, 0148, 0350, 0350,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 102, 353N,  486W, 104,  963, XX,  50, NEQ, 0099, 0086, 0350, 0350,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 102, 353N,  486W, 104,  963, XX,  64, NEQ, 0073, 0068, 0000, 0045,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 108, 372N,  491W,  97,  964, XX,  34, NEQ, 0190, 0176, 0350, 0350,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 108, 372N,  491W,  97,  964, XX,  50, NEQ, 0111, 0102, 0350, 0342,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 108, 372N,  491W,  97,  964, XX,  64, NEQ, 0084, 0078, 0348, 0342,    0,    0, 034,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 114, 402N,  500W,  91,  979, XX,  34, NEQ, 0216, 0340, 0350, 0141,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 114, 402N,  500W,  91,  979, XX,  50, NEQ, 0126, 0127, 0350, 0081,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 114, 402N,  500W,  91,  979, XX,  64, NEQ, 0093, 0090, 0350, 0051,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 120, 434N,  505W,  84,  983, XX,  34, NEQ, 0228, 0350, 0350, 0341,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 120, 434N,  505W,  84,  983, XX,  50, NEQ, 0130, 0338, 0350, 0053,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 120, 434N,  505W,  84,  983, XX,  64, NEQ, 0089, 0090, 0350, 0000,    0,    0, 048,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 126, 469N,  497W,  83,  983, XX,  34, NEQ, 0350, 0350, 0350, 0037,    0,    0, 060,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 126, 469N,  497W,  83,  983, XX,  50, NEQ, 0163, 0174, 0000, 0000,    0,    0, 060,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 126, 469N,  497W,  83,  983, XX,  64, NEQ, 0101, 0114, 0000, 0000,    0,    0, 060,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 132, 510N,  468W,  81,  986, XX,  34, NEQ, 0350, 0350, 0347, 0349,    0,    0, 088,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 132, 510N,  468W,  81,  986, XX,  50, NEQ, 0181, 0218, 0000, 0000,    0,    0, 088,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 132, 510N,  468W,  81,  986, XX,  64, NEQ, 0134, 0158, 0000, 0000,    0,    0, 088,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 138, 565N,  432W,  76,  982, XX,  34, NEQ, 0350, 0350, 0332, 0339,    0,    0, 098,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 138, 565N,  432W,  76,  982, XX,  50, NEQ, 0222, 0343, 0000, 0000,    0,    0, 098,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 138, 565N,  432W,  76,  982, XX,  64, NEQ, 0164, 0245, 0000, 0000,    0,    0, 098,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 144, 608N,  398W,  51,  975, XX,  34, NEQ, 0348, 0350, 0350, 0151,    0,    0, 106,   0,   0, TCV
AL,   13, 2012090700, 03,  CMZ, 144, 608N,  398W,  51,  975, XX,  50, NEQ, 0282, 0350, 0000, 0000,    0,    0, 106,   0,   0, TCV
